Rank,Team,Games,PIR,Ave,Per40,PTS,FTM,FTA,FT%,2PM,2PA,2PT%,3PM,3PA,3PT%,FGM,FGA,FG%,TREB,OREB,DREB,AST,STL,BLK,BLKA,TO,FD,FC,Min
1,Olympiacos Piraeus,33,3386,102.6,102.6,2771,457,596,76.7%,668,1099,60.8%,326,870,37.5%,994,1969,50.5%,1098,317,781,719,256,69,65,425,686,609,1320:00
2,Real Madrid,33,3370,102.1,101.4,2815,544,676,80.5%,681,1178,57.8%,303,820,37.0%,984,1998,49.2%,1211,331,880,643,193,143,61,433,681,676,1330:00
3,Cazoo Baskonia Vitoria-Gasteiz,33,3265,98.9,98.2,2871,472,612,77.1%,664,1153,57.6%,357,977,36.5%,1021,2130,47.9%,1137,347,790,654,234,93,81,366,670,698,1330:00
4,Anadolu Efes Istanbul,33,3146,95.3,94.6,2736,443,539,82.2%,641,1119,57.3%,337,862,39.1%,978,1981,49.4%,1048,264,784,522,206,95,81,365,669,585,1330:00
5,Partizan Mozzart Bet Belgrade,33,3092,93.7,93.0,2813,592,714,82.9%,698,1246,56.0%,275,697,39.5%,973,1943,50.1%,990,302,688,475,213,83,73,374,749,692,1330:00
6,AS Monaco,33,3069,93.0,92.0,2760,569,757,75.2%,758,1385,54.7%,225,696,32.3%,983,2081,47.2%,1116,407,709,512,245,67,78,354,761,674,1335:00
7,FC Barcelona,33,3035,92.0,91.3,2666,461,580,79.5%,609,1119,54.4%,329,819,40.2%,938,1938,48.4%,1123,345,778,636,191,64,69,420,677,714,1330:00
8,Fenerbahce Beko Istanbul,33,3016,91.4,90.7,2774,400,563,71.0%,704,1235,57.0%,322,865,37.2%,1026,2100,48.9%,1106,377,729,592,216,56,80,392,671,690,1330:00
9,Maccabi Playtika Tel Aviv,33,2992,90.7,90.7,2741,431,537,80.3%,717,1300,55.2%,292,836,34.9%,1009,2136,47.2%,1152,393,759,539,224,104,69,367,616,715,1320:00
10,ALBA Berlin,33,2906,88.1,87.4,2635,413,537,76.9%,646,1206,53.6%,310,910,34.1%,956,2116,45.2%,1187,391,796,652,224,105,102,484,628,655,1330:00
11,Valencia Basket,33,2823,85.5,84.9,2711,468,570,82.1%,601,1093,55.0%,347,942,36.8%,948,2035,46.6%,1038,324,714,579,216,54,83,437,667,733,1330:00
12,Virtus Segafredo Bologna,33,2803,84.9,84.6,2564,476,595,80.0%,606,1116,54.3%,292,782,37.3%,898,1898,47.3%,1022,269,753,638,234,69,82,487,656,692,1325:00
13,Panathinaikos Athens,33,2744,83.2,81.9,2615,532,717,74.2%,599,1188,50.4%,295,817,36.1%,894,2005,44.6%,1062,321,741,483,216,77,76,389,732,680,1340:00
14,Crvena Zvezda Meridianbet Belgrade,33,2706,82.0,81.4,2535,454,587,77.3%,631,1165,54.2%,273,811,33.7%,904,1976,45.7%,1085,346,739,559,217,55,87,411,662,704,1330:00
15,EA7 Emporio Armani Milan,33,2666,80.8,80.2,2459,414,537,77.1%,574,1084,53.0%,299,840,35.6%,873,1924,45.4%,1075,289,786,533,202,66,66,406,644,667,1330:00
16,Zalgiris Kaunas,33,2656,80.5,80.5,2508,460,582,79.0%,625,1210,51.7%,266,732,36.3%,891,1942,45.9%,1114,375,739,464,199,87,98,432,661,674,1320:00
17,FC Bayern Munich,33,2562,77.6,77.6,2525,492,601,81.9%,541,1136,47.6%,317,910,34.8%,858,2046,41.9%,1131,382,749,453,209,75,98,382,677,731,1320:00
18,LDLC ASVEL Villeurbanne,33,2473,74.9,74.9,2456,430,554,77.6%,647,1209,53.5%,244,730,33.4%,891,1939,46.0%,1002,292,710,477,215,69,81,453,660,700,1320:00
